NÍVEL,QUADRIÊNIO,ANO,TIPO,QUANTIDADE
MESTRADO,Q1,2017,MATRÍCULA,18
DOUTORADO,Q1,2017,MATRÍCULA,4
MESTRADO,Q1,2017,DEFESA,17
DOUTORADO,Q1,2017,DEFESA,0
MESTRADO,Q1,2018,MATRÍCULA,25
DOUTORADO,Q1,2018,MATRÍCULA,10
MESTRADO,Q1,2018,DEFESA,19
DOUTORADO,Q1,2018,DEFESA,0
MESTRADO,Q1,2019,MATRÍCULA,20
DOUTORADO,Q1,2019,MATRÍCULA,8
MESTRADO,Q1,2019,DEFESA,16
DOUTORADO,Q1,2019,DEFESA,7
MESTRADO,Q1,2020,MATRÍCULA,12
DOUTORADO,Q1,2020,MATRÍCULA,8
MESTRADO,Q1,2020,DEFESA,18
DOUTORADO,Q1,2020,DEFESA,7
MESTRADO,Q2,2021,MATRÍCULA,12
DOUTORADO,Q2,2021,MATRÍCULA,7
MESTRADO,Q2,2021,DEFESA,12
DOUTORADO,Q2,2021,DEFESA,2
MESTRADO,Q2,2022,MATRÍCULA,23
DOUTORADO,Q2,2022,MATRÍCULA,5
MESTRADO,Q2,2022,DEFESA,21
DOUTORADO,Q2,2022,DEFESA,5
MESTRADO,Q2,2023,MATRÍCULA,9
DOUTORADO,Q2,2023,MATRÍCULA,10
MESTRADO,Q2,2023,DEFESA,8
DOUTORADO,Q2,2023,DEFESA,4
MESTRADO,Q2,2024,MATRÍCULA,
DOUTORADO,Q2,2024,MATRÍCULA,
MESTRADO,Q2,2024,DEFESA,
DOUTORADO,Q2,2024,DEFESA,
